"ym_quarter","dong","move_num","m_move_num","f_move_num","age_20_under_move_num","age_30_move_num","age_40_move_num","age_50_move_num","age_60_over_move_num"
20242,"성수1가제1동",3160205,1511522,1648684,913700,730195,497974,454846,563489
20242,"성수1가제2동",5732417,2762947,2969471,1784368,1407976,1008201,737171,794700
20242,"성수2가제1동",5086688,2575450,2511238,1313911,1017315,804212,882655,1068596
20242,"성수2가제3동",5539416,2757237,2782180,1748156,1281218,966960,757257,785825
20242,"송정동",2838448,1444485,1393963,897376,532297,459142,393010,556620
20242,"용답동",3588336,1768741,1819595,1037770,621879,533276,593491,801919
20243,"왕십리제2동",4257821,1874223,2383597,1247442,808954,657313,622256,921858
20243,"왕십리도선동",5497986,2513452,2984533,1703365,1024744,885991,818718,1065168
20243,"마장동",5084854,2487987,2596867,1458169,807369,790647,836344,1192323
20243,"사근동",3900199,1888667,2011532,2167723,491048,374902,364851,501674
20243,"행당제1동",5352424,2517033,2835391,1870297,895736,883322,784829,918240
20243,"행당제2동",4521871,2012287,2509585,1328435,722166,803951,681406,985915
20243,"응봉동",2977452,1317042,1660408,854032,451724,554236,468492,648967
20243,"금호1가동",3263574,1424063,1839510,861742,561679,649260,482405,708486
20243,"금호2.3가동",6275018,2832220,3442799,1632308,1041718,1103764,992605,1504624
20243,"금호4가동",2885876,1327401,1558474,709319,527065,508846,446028,694618
20243,"옥수동",2862565,1292721,1569844,789455,491876,517307,401882,662046
20243,"성수1가제1동",3079247,1483489,1595758,866235,703761,490336,460830,558085
20243,"성수1가제2동",5569494,2699537,2869957,1711146,1363652,992577,723278,778840
20243,"성수2가제1동",4858644,2450567,2408076,1257161,953491,765387,839798,1042807
20243,"성수2가제3동",5525815,2741437,2784378,1718198,1263776,965709,765718,812412
20243,"송정동",2961513,1501543,1459970,915905,538096,483235,414258,610019
20243,"용답동",3290351,1611188,1679164,929045,581656,489906,551823,737921
20244,"왕십리제2동",4269923,1883195,2386728,1238677,821420,670217,622363,917247
20244,"왕십리도선동",5522354,2544134,2978220,1712192,1029889,898222,825117,1056936
