"ym_quarter","dong","pop_all_mean","pop_all_std"
"20241","왕십리제2동",16085.3333333333,20.1328918273887
"20241","용답동",12061,10.4403065089106
"20241","응봉동",14877.6666666667,20.8166599946613
"20241","행당제1동",13720,16.5227116418583
"20241","행당제2동",22807.3333333333,50.3620227287719
"20242","금호1가동",14707.6666666667,13.2035348802256
"20242","금호2.3가동",21857,45.508241011931
"20242","금호4가동",14089.6666666667,9.29157324317757
"20242","마장동",21500.6666666667,16.9213868619961
"20242","사근동",12112,22.6053091109146
"20242","성동구",276737,127.671453348037
"20242","성수1가제1동",15360.6666666667,16.5025250593154
"20242","성수1가제2동",11861,20.0748598998847
"20242","성수2가제1동",14502.3333333333,20.0333056017556
"20242","성수2가제3동",9955,33.7786915081091
"20242","송정동",9625.66666666667,16.8621864932557
"20242","옥수동",25450,26.0576284415908
"20242","왕십리도선동",26204.3333333333,30.0055550412475
"20242","왕십리제2동",16083.6666666667,21.9393102292058
"20242","용답동",12106.6666666667,33.2615894589139
"20242","응봉동",14832.3333333333,5.13160143944688
"20242","행당제1동",13733,8.66025403784439
"20242","행당제2동",22755.3333333333,1.15470053837925
"20243","금호1가동",14624.3333333333,19.6553639837408
"20243","금호2.3가동",21722.6666666667,81.4636933445405
"20243","금호4가동",14080,12.4899959967968
"20243","마장동",21416,40.6324993078201
"20243","사근동",12080.3333333333,23.3523731841827
"20243","성동구",275791.666666667,395.677056870036
"20243","성수1가제1동",15349,12.7671453348037
"20243","성수1가제2동",11786,34.7706773014274
"20243","성수2가제1동",14349.6666666667,73.5821536334275
"20243","성수2가제3동",9837.33333333333,52.0800665642176
"20243","송정동",9592.33333333333,20.5020324195757
"20243","옥수동",25416,41
"20243","왕십리도선동",26151,3
"20243","왕십리제2동",16027.3333333333,10.0166528008778
"20243","용답동",12119.3333333333,6.02771377334171
"20243","응봉동",14815.6666666667,17.7857620959388
"20243","행당제1동",13725,4.58257569495584
"20243","행당제2동",22699.6666666667,46.5008960487143
"20244","금호1가동",14597.6666666667,17.5023807904334
"20244","금호2.3가동",21325.3333333333,178.511437542062
"20244","금호4가동",14077,3
"20244","마장동",21365.3333333333,24.4404037064311
"20244","사근동",12008,73.9797269527267
"20244","성동구",274307.333333333,648.739033304867
